item_name,item_type,source,target,item_value,source_survey_itemID,target_survey_itemID
Q1,INSTRUCTION,Show card A,PŘEDLOŽTE KARTU 1,,EVS_R03_1999_ENG_GB_1,EVS_R03_1999_CZE_CZ_1
Q1,REQUEST,"Please say, for each of the following, how important it is in your life.","Prosím řekněte, pro každou z následujících skutečností, jak jsou ve Vašem životě důležité:",,EVS_R03_1999_ENG_GB_1,EVS_R03_1999_CZE_CZ_1
Q1a,REQUEST,Work,Práce,,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1a,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_2,EVS_R03_1999_CZE_CZ_2
Q1b,REQUEST,Family,Rodina,,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1b,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_3,EVS_R03_1999_CZE_CZ_3
Q1c,REQUEST,Friends and acquaintances,Přátelé a známí,,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1c,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_4,EVS_R03_1999_CZE_CZ_4
Q1d,REQUEST,Leisure time,Volný čas,,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1d,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_5,EVS_R03_1999_CZE_CZ_5
Q1e,REQUEST,Politics,Politika,,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1e,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_6,EVS_R03_1999_CZE_CZ_6
Q1f,REQUEST,Religion,Náboženství,,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,no answer,Neodpověděl,777.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,very important,Velmi důležitá,1.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,quite important,Dosti důležitá,2.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,not important,Ne příliš důležitá,3.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q1f,RESPONSE,not at all important,Vůbec nedůležitá,4.0,EVS_R03_1999_ENG_GB_7,EVS_R03_1999_CZE_CZ_7
Q2,INSTRUCTION,Read out,,,EVS_R03_1999_ENG_GB_9,
Q2,REQUEST,"When you get together with your friends, would you say you discuss political matters frequently, occasionally or never?","Když se setkáte se svými přáteli, řěkl(a) bystei, že diskutujete o politických tématech často, příležitostně, nebo nikdy?",,EVS_R03_1999_ENG_GB_9,EVS_R03_1999_CZE_CZ_8
Q2,RESPONSE,no answer,Neodpověděl(a),777.0,EVS_R03_1999_ENG_GB_9,EVS_R03_1999_CZE_CZ_8
Q2,RESPONSE,don't know,Neví,888.0,EVS_R03_1999_ENG_GB_9,EVS_R03_1999_CZE_CZ_8
