item_name,item_type,source,target,item_value
C1,REQUEST,"Taking all things together, how happy would you say you are?","Alles in allem betrachtet, wie glücklich sind Sie?",
C1,RESPONSE, Extremely unhappy, Äußerst unglücklich,0
C1,RESPONSE,1,1,1
C1,RESPONSE,2,2,2
C1,RESPONSE,3,3,3
C1,RESPONSE,4,4,4
C1,RESPONSE,5,5,5
C1,RESPONSE,6,6,6
C1,RESPONSE,7,7,7
C1,RESPONSE,8,8,8
C1,RESPONSE,9,9,9
C1,RESPONSE, Extremely happy, Äußerst glücklich,10
C1,RESPONSE,(Don't know),(Weiß nicht),888
C2,REQUEST,"Using this card, how often do you meet socially with friends, relatives or work colleagues?","Wie oft treffen Sie sich mit Freunden, Verwandten oder privat mit Arbeitskollegen?",
C2,RESPONSE,Never,nie,1
C2,RESPONSE,Less than once a month,weniger als einmal im Monat,2
C2,RESPONSE,Once a month,einmal im Monat,3
C2,RESPONSE,Several times a month,mehrmals im Monat,4
C2,RESPONSE,Once a week,einmal die Woche,5
C2,RESPONSE,Several times a week,mehrmals die Woche,6
C2,RESPONSE,Every day,täglich,7
C2,RESPONSE,(Don't know),(Weiß nicht),888
C3,REQUEST,Do you have anyone with whom you can discuss intimate and personal matters?,"Haben Sie jemanden, mit dem Sie intime und persönliche Angelegenheiten besprechen können?",
C3,RESPONSE,Yes,ja,1
C3,RESPONSE,No,nein,2
C3,RESPONSE,(Don't know),(Weiß nicht),888
C4,REQUEST,"Compared to other people of your age, how often would you say you take part in social activities?","Wenn Sie sich mit anderen Leuten in Ihrem Alter vergleichen, wie oft nehmen Sie an geselligen Ereignissen oder Treffen teil?",
C4,RESPONSE,Much less than most,viel weniger als die meisten,1
C4,RESPONSE,Less than most,weniger als die meisten,2
C4,RESPONSE,About the same,ungefähr gleich oft,3
C4,RESPONSE,More than most,mehr als andere,4
C4,RESPONSE,Much more than most,viel mehr als andere,5
C4,RESPONSE,(Don't know),(Weiß nicht),888
C5,REQUEST,Have you or a member of your household been the victim of a burglary or assault in the last 5 years?,Waren Sie oder ein Mitglied Ihres Haushaltes in den letzten 5 Jahren Opfer eines Einbruchs oder eines Überfalls?,
C5,RESPONSE,Yes,ja,1
C5,RESPONSE,No,nein,2
C5,RESPONSE,(Don't know),(Weiß nicht),888
C6,REQUEST,How safe do you – or would you - feel walking alone in this area after dark?,"Wie sicher fühlen Sie sich, wenn Sie nachts in Ihrem Wohngebiet unterwegs sind?",
C6,REQUEST,Do – or would – you feel...,Fühlen Sie sich ...?,
C6,RESPONSE,very safe,sehr sicher,1
C6,RESPONSE,safe,sicher,2
C6,RESPONSE,unsafe,unsicher,3
C6,RESPONSE,"or, very unsafe?",oder sehr unsicher,4
C6,RESPONSE,(Don't know),(Weiß nicht),888
C7,REQUEST,How is your health in general?,Wie ist Ihr allgemeiner Gesundheitszustand?,
C7,REQUEST,Would you say it is ...,"Würden Sie sagen, er ist ...?",
C7,RESPONSE,very good,sehr gut,1
C7,RESPONSE,good,gut,2
C7,RESPONSE,fair,mittelmäßig,3
C7,RESPONSE,bad,schlecht,4
C7,RESPONSE,"or, very bad?",oder sehr schlecht,5
C7,RESPONSE,(Don't know),(Weiß nicht),888
C8,REQUEST,"Are you hampered in your daily activities in any way by any longstanding illness, or disability, infirmity or mental health problem?","Sind Sie in Ihrem täglichen Leben durch eine langwierige Krankheit, eine Behinderung, ein Gebrechen oder durch eine psychische Krankheit beeinträchtigt?",
C8,RESPONSE,Yes a lot,"ja, sehr",1
C8,RESPONSE,Yes to some extent,"ja, bis zu einem gewissen Grad",2
C8,RESPONSE,No,nein,3
C8,RESPONSE,(Don't know),(Weiß nicht),888
C9,REQUEST,Do you consider yourself as belonging to any particular religion or denomination?,"Unabhängig davon, ob Sie Mitglied oder Angehöriger einer Kirche oder Religionsgemeinschaft sind, fühlen Sie sich einer bestimmten Religion oder Konfession zugehörig?",
C9,RESPONSE,Yes,ja,1
C9,RESPONSE,No,nein,2
C9,RESPONSE,(Don't know),(Weiß nicht),888
C10,REQUEST,Which one?,Welcher?,
C10,RESPONSE,Christian – no denomination,Römisch-Katholisch,1
C10,RESPONSE,Roman Catholic,andere Christen,2
C10,RESPONSE,Greek or Russian Orthodox,Griechisch oder Russisch Orthodox,3
C10,RESPONSE,Other Eastern Orthodox,andere östliche Orthodoxie,4
C10,RESPONSE,Protestant (no further detail),Evangelisch AB,5
C10,RESPONSE,Church of England / Anglican,Evangelisch HB,6
C10,RESPONSE,Baptist,andere Protestanten,7
C10,RESPONSE,Methodist,Hindu,8
C10,RESPONSE,Presbyterian / Church of Scotland,Sikh,9
C10,RESPONSE,United Reform Church / Congregational,Buddhist,10
C10,RESPONSE,Free Presbyterian,andere östliche Religionen,11
C10,RESPONSE,Brethren,Jüdisch,12
C10,RESPONSE,Other Protestant,Moslem,13
C10,RESPONSE,Other Christian,andere Nicht-christliche Religion,14
