item_name,item_type,source,target,item_value
D1,REQUEST,"Thinking of people coming to live in country nowadays from other countries, would you say that...","Es gibt verschiedene Gründe, weshalb Menschen in die Schweiz kommen, um hier zu leben.",
D1,RESPONSE,...most are of the same race or ethnic group as the majority of country 30 people,...die meisten Zuwanderer gehören derselben Volksgruppe oder ethnischen Gruppe an wie die Mehrheit der Schweizer,1
D1,RESPONSE,most are of a different race or ethnic group,...oder: die meisten Zuwanderer gehören einer anderen Volksgruppe oder ethnischen Gruppe an als die Mehrheit der Schweizer,2
D1,RESPONSE,"or, is it about half and half?",... oder halten Sie dieses Verhältnis für mehr oder weniger ausgeglichen?,3
D1,RESPONSE,(Don't know),(Weiss nicht),888
D2,REQUEST,"Now thinking about people coming to live in country nowadays from other countries within Europe, would you say that...","Würden Sie sagen, dass die Menschen, die aus anderen europäischen Ländern in die Schweiz kommen...",
D2,RESPONSE,...most come from the richer countries of Europe,... grösstenteils aus den reicheren Ländern Europas stammen,1
D2,RESPONSE,most come from the poorer countries of Europe,... grösstenteils aus den ärmeren Ländern Europas stammen,2
D2,RESPONSE,"or, is it about half and half?",... oder halten Sie dieses Verhältnis für mehr oder weniger ausgeglichen?,3
D2,RESPONSE,(Don't know),(Weiss nicht),888
D3,REQUEST,"And what about people who come to live in country nowadays from countries outside Europe, would you say that...","Und die Menschen, die aus nichteuropäischen Ländern in die Schweiz kommen: Glauben Sie, dass diese...",
D3,RESPONSE,...most come from the richer countries of Europe,... grösstenteils aus den reicheren nichteuropäischen Ländern stammen,1
D3,RESPONSE,most come from the poorer countries of Europe,... grösstenteils aus den ärmeren nichteuropäischen Ländern stammen,2
D3,RESPONSE,"or, is it about half and half?",... oder halten Sie dieses Verhältnis für mehr oder weniger ausgeglichen?,3
D3,RESPONSE,(Don't know),(Weiss nicht),888
D4,REQUEST,"Now, using this card, to what extent do you think country should allow people of the same race or ethnic group as most country people to come and live here?","Nun zu der Frage, wievielen Zuwanderern es die Schweiz erlauben sollte, hier zu leben.",
D4,RESPONSE,Allow many to come and live here,vielen erlauben,1
D4,RESPONSE,Allow some,einigen erlauben,2
D4,RESPONSE,Allow a few,nur ein paar wenigen erlauben,3
D4,RESPONSE,Allow none,niemandem erlauben,4
D4,RESPONSE,(Don't know),(Weiss nicht),888
