item_name,item_type,source,target,item_value
I1,REQUEST,How was the supplementary questionnaire administered?,Wie wurde der Zusatzfragebogen bearbeitet?,
I1,RESPONSE,Face-to-face interview,Befragung durch Interviewer,1
I1,RESPONSE,Completed by the respondent while you were present,Vom Befragten selbst in Anwesenheit des Interviewers ausgefüllt,2
I1,RESPONSE,"Left with respondent, to be collected by you","Dem Befragten hinterlassen, vom Interviewer abzuholen",3
I1,RESPONSE,(Don't know),(Weiß nicht),888
I2,REQUEST,QUESTIONS ON THE INTERVIEW AS A WHOLE,Hat der/die Befragte bei irgendwelchen Fragen um Erläuterungen gebeten?,
I2,RESPONSE,Never,Nie,1
I2,RESPONSE,Almost never,Fast nie,2
I2,RESPONSE,Now and then,Ab und zu,3
I2,RESPONSE,Often,Oft,4
I2,RESPONSE,Very often,Sehr oft,5
I2,RESPONSE,(Don't know),(Weiß nicht),888
I3,REQUEST,Did you feel that the respondent was reluctant to answer any questions?,Hat der/die Befragte Ihrem Eindruck nach bestimmte Fragen nur mit Widerwillen beantwortet?,
I3,RESPONSE,Never,Nie,1
I3,RESPONSE,Almost never,Fast nie,2
I3,RESPONSE,Now and then,Ab und zu,3
I3,RESPONSE,Often,Oft,4
I3,RESPONSE,Very often,Sehr oft,5
I3,RESPONSE,(Don't know),(Weiß nicht),888
I4,REQUEST,Did you feel that the respondent tried to answer the questions to the best of his or her ability?,"Hat sich der/die Befragte Ihrem Eindruck nach bemüht, die Fragen zu beantworten so gut er/sie konnte?",
I4,RESPONSE,Never,Nie,1
I4,RESPONSE,Almost never,Fast nie,2
I4,RESPONSE,Now and then,Ab und zu,3
I4,RESPONSE,Often,Oft,4
I4,RESPONSE,Very often,Sehr oft,5
I4,RESPONSE,(Don't know),(Weiß nicht),888
I5,REQUEST,"Overall, did you feel that the respondent understood the questions?","Hatten Sie alles in allem den Eindruck, dass der/die Befragte die Fragen verstanden hat?",
I5,RESPONSE,Never,Nie,1
I5,RESPONSE,Almost never,Fast nie,2
I5,RESPONSE,Now and then,Ab und zu,3
I5,RESPONSE,Often,Oft,4
I5,RESPONSE,Very often,Sehr oft,5
I5,RESPONSE,(Don't know),(Weiß nicht),888
I6,REQUEST,"Was anyone else present, who interfered with the interview?","War beim Interview jemand anderes anwesend, der/die sich in die Befragung eingemischt hat?",
I6,RESPONSE,Yes,Ja Nein,1
I6,RESPONSE,(Don't know),(Weiß nicht),888
I7,REQUEST,Who was this?,Wer war das?,
I7,RESPONSE,Husband/wife/partner,Ehemann/-frau/Partner(in),1
I7,RESPONSE,"Son/daughter (inc. step, adopted, foster, child of partner)","Sohn/Tochter (einschl. Stief- oder Adoptivkinder, Pflegekinder oder Kinder des Partners/der Partnerin)",2
I7,RESPONSE,Parent/parent-in-law/step-parent/partner's parent,"Vater/Mutter, Schwiegervater/Schwiegermutter, Stiefvater/Stiefmutter, Vater/Mutter des Partners/der Partnerin",3
I7,RESPONSE,Other relative,Andere(r) Verwandte(r),4
I7,RESPONSE,Other non-relative,Andere nicht verwandte Person,5
I7,RESPONSE,Don't know,Trifft nicht zu (keine weitere Person während des Interviews anwesend),6
I7,RESPONSE,(Don't know),Weiß nicht,888
I8,REQUEST,"If you have any additional comments on the interview, please write them in the space below.","WENN SIE WEITERE ANMERKUNGEN ZUM INTERVIEW HABEN, SCHREIBEN SIE DIESE BITTE HIER AUF.",
D1,REQUEST,"Thinking of people coming to live in country nowadays from other countries, would you say that...","Wenn Sie an die Zuwanderer denken, die heute aus anderen Ländern nach Deutschland kommen, was würden Sie sagen...",
D1,RESPONSE,...most are of the same race or ethnic group as the majority of country 30 people,"...die meisten Zuwanderer gehören derselben Volksgruppe oder ethnischen Gruppe an wie die Mehrheit der Deutschen,",1
D1,RESPONSE,most are of a different race or ethnic group,...oder: die meisten Zuwanderer gehören einer anderen Volksgruppe,2
D1,RESPONSE,"or, is it about half and half?","oder ethnischen Gruppe an als die Mehrheit der Deutschen,",3
D1,RESPONSE,(Don't know),(Weiß nicht),888
D2,REQUEST,"Now thinking about people coming to live in country nowadays from other countries within Europe, would you say that...","Wenn Sie nun an die Zuwanderer denken, die heute aus anderen Ländern innerhalb Europas nach Deutschland kommen, würden Sie sagen...",
D2,RESPONSE,...most come from the richer countries of Europe,"...die meisten kommen aus reicheren Ländern Europas,",1
D2,RESPONSE,most come from the poorer countries of Europe,"...oder: die meisten kommen aus ärmeren Ländern Europas,",2
D2,RESPONSE,"or, is it about half and half?","...oder würden Sie sagen, dass diese beiden Zuwanderergruppen ungefähr gleich groß sind?",3
D2,RESPONSE,(Don't know),(Weiß nicht),888
