item_name,item_type,source,target,item_value,source_survey_itemID,target_survey_itemID
G2,INTRODUCTION,Now I will briefly describe some people Please listen to each description and tell me how much each person is or is not like you,,,ESS_R01_2002_ENG_SOURCE_344,
G2,INSTRUCTION,Use this card for your answer,Interviewer: BITTE ÜBERTRAGEN SIE JETZT NOCH EINMAL DIE LAUFENDE NUMMER VOM KONTAKTPROTOKOLL!,,ESS_R01_2002_ENG_SOURCE_344,ESS_R01_2002_GER_DE_329
G2,INSTRUCTION,FEMALE RESPONDENTS,,,ESS_R01_2002_ENG_SOURCE_344,
G2,INSTRUCTION,CARD A,,,ESS_R01_2002_ENG_SOURCE_344,
E1a,INTRODUCTION,The next few questions are about the organisations some people take part in.,"In den nächsten Fragen geht es um die Mitarbeit in Vereinen, Verbänden und anderen Organisationen.",,ESS_R01_2002_ENG_SOURCE_151,ESS_R01_2002_GER_DE_153
E1a,REQUEST,"...Firstly, a sports club or club for out-door activities?","Ich nenne Ihnen nun einige Vereine, Verbände und andere Organisationen.",,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,REQUEST,"For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which.","Bitte benutzen Sie Liste 43 und sagen Sie mir für jede einzelne Organisation, ob eines oder mehrere von den Dingen auf der Liste auf Sie in den letzten 12 Monaten zutreffen.",,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,REQUEST,,"Sind Sie Mitglied eines Sportvereins oder eines Vereins für Aktivitäten im Freien, haben Sie an Aktivitäten eines solchen Vereins teilgenommen, einem solchen Verein Geld gespendet, ehrenamtlich (also ohne Bezahlung) für ihn gearbeitet oder trifft nichts davon auf Sie in den letzten 12 Monaten zu?",,,ESS_R01_2002_GER_DE_154
E1a,REQUEST,,Und wie ist es mit (E1a-E12a)?,,,ESS_R01_2002_GER_DE_154
E1a,REQUEST,,... ein Sportverein oder ein Verein für Aktivitäten im Freien?,,,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E1a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_152,ESS_R01_2002_GER_DE_154
E2a,REQUEST,...an organisation for cultural or hobby activities?,...einer Organisation für kulturelle oder Freizeitaktivitäten?,,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E2a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_153,ESS_R01_2002_GER_DE_155
E3a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E3a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E3a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E3a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E3a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E3a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_154,ESS_R01_2002_GER_DE_156
E4a,REQUEST,"...a business professional, or farmers' organisation?","...einem Wirtschafts-, Berufs- oder Bauernverband?",,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E4a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_155,ESS_R01_2002_GER_DE_157
E5a,REQUEST,...a consumer or automobile organisation?,...einer Verbraucherschutzorganisation oder einem Automobilklub?,,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E5a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_156,ESS_R01_2002_GER_DE_158
E6a,REQUEST,"...an organisation for humanitarian aid, human rights, minorities, or immigrants?","...einer Organisation für humanitäre Hilfe, Menschenrechte, Minderheiten oder Immigranten?",,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E6a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_157,ESS_R01_2002_GER_DE_159
E7a,REQUEST,"...an organisation for environmental protection, peace or animal rights?",...einer Umweltschutz- oder Friedensorganisation oder einem Tierschutzverein?,,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E7a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_158,ESS_R01_2002_GER_DE_160
E8a,REQUEST,...a religious or church organisation?,...einer religiösen oder kirchlichen Organisation?,,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E8a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_159,ESS_R01_2002_GER_DE_161
E9a,REQUEST,...a political party?,...einer politischen Partei?,,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E9a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_160,ESS_R01_2002_GER_DE_162
E10a,REQUEST,"...an organisation for science, education, or teachers and parents?",...einer Organisation zur Förderung von Wissenschaft oder Bildung oder einer Lehrer- oder Elternorganisation?,,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
E10a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_161,ESS_R01_2002_GER_DE_163
