item_name,item_type,source,target,item_value
B1,REQUEST,How interested would you say you are in politics - are you...,Hvor interessert vil du si at du er i politikk?,
B1,RESPONSE,very interested,"veldig interessert,",1
B1,RESPONSE,quite interested,"ganske interessert,",2
B1,RESPONSE,hardly interested,"litt interessert,",3
B1,RESPONSE,"or, not at all interested?",eller ikke interessertidet hele tatt?,4
B1,RESPONSE,(Don't know),(Vet ikke),888
B2,REQUEST,How often does politics seem so complicated that you can't really understand what is going on?,Hvor ofte virker politikk så komplisert at du egentlig ikke skjønner noe av det?,
B2,INSTRUCTION,,KORT 6,
B2,INSTRUCTION,Please use this card.,Bruk dette kortet til å svare.,
B2,RESPONSE,Never,Aldri,1
B2,RESPONSE,Seldom,Sjelden,2
B2,RESPONSE,Occasionally,Av og til,3
B2,RESPONSE,Regularly,Jevnlig,4
B2,RESPONSE,Frequently,Ofte,5
B2,RESPONSE,(Don't know),(Vet ikke),888
B3,REQUEST,Do you think that you could take an active role in a group involved with political issues?,Hadde du kunnet deltatt aktivt i en gruppe som arbeider med politiske saker?,
B3,INSTRUCTION,,KORT 7,
B3,INSTRUCTION,Please use this card.,Bruk kortet.,
B3,RESPONSE,Definitely not,Slett ikke,1
B3,RESPONSE,Probably not,Trolig ikke,2
B3,RESPONSE,Not sure either way,Muligens,3
B3,RESPONSE,Probably,Trolig,4
B3,RESPONSE,Definitely,Helt sikkert,5
B3,RESPONSE,(Don't know),(Vet ikke),888
B4,REQUEST,How difficult or easy do you find it to make your mind up about political issues?,Hvor vanskelig eller lett synes du det er å bestemme deg for hva du mener om politiske saker?,
B4,INSTRUCTION,,KORT 8,
B4,INSTRUCTION,Please use this card.,Bruk kortet til å svare.,
B4,RESPONSE,Very difficult,Veldig vanskelig,1
B4,RESPONSE,Difficult,Vanskelig,2
B4,RESPONSE,Neither difficult nor easy,Verken vanskelig eller lett,3
B4,RESPONSE,Easy,Lett,4
B4,RESPONSE,Very easy,Veldig lett,5
B4,RESPONSE,(Don't know),(Vet ikke),888
B5,REQUEST,"Using this card, do you think that politicians in general care what people like you think?",Tror du at politikere til vanlig bryr seg om hva folk som deg mener?,
B5,RESPONSE,Hardly any politicians care what people like me think,Det er knapt noen politikere som bryr seg om hva folk som jeg mener,1
B5,RESPONSE,Very few care,Veldig få bryr seg,2
B5,RESPONSE,Some care,Noen bryr seg,3
